Material,Concentration ,Replicate,Survival rate,Weight loss,Pd accumulation
Pd(II),0.1,1,100,12.84330459,0.552981861
Pd(II),0.1,2,93.33333333,21.34148792,0.344361483
Pd(II),0.1,3,86.66666667,19.87684853,0.27823424
Pd(II),1,1,100,17.44354585,1.237099762
Pd(II),1,2,100,17.70915263,1.644097222
Pd(II),1,3,100,13.99282994,1.130486441
Pd(II),10,1,93.33333333,11.27017514,7.400402554
Pd(II),10,2,100,13.01368591,6.406268515
Pd(II),10,3,100,17.542422,5.773427909
Pd(II),50,1,100,31.66128454,18.97721107
Pd(II),50,2,100,25.89333277,20.91894977
Pd(II),50,3,100,34.09300326,23.79621178
Pd(0),0.1,1,100,23.57164105,0.433676797
Pd(0),0.1,2,93.33333333,19.88058381,0.671745152
Pd(0),0.1,3,93.33333333,19.56321676,0.325286095
Pd(0),1,1,100,18.24744429,0.840825841
Pd(0),1,2,100,21.80695034,1.098535286
Pd(0),1,3,93.33333333,30.91764178,1.236483781
Pd(0),10,1,100,19.52200616,6.39465031
Pd(0),10,2,100,30.69744304,3.979244759
Pd(0),10,3,93.33333333,27.04569137,3.402488081
Pd(0),50,1,100,16.78079366,13.71830698
Pd(0),50,2,100,20.40447551,9.061961605
Pd(0),50,3,93.33333333,24.01797032,10.57192011
Control,0,1,100,5.980027042,0.24871755
Control,0,2,93.33333333,15.7931613,0.154498419
Control,0,3,100,20.34830431,0.146370023
